,id,airline_iata,origin_iata,deprt_time,dest_iata,duration,prop,ac_type,capacity,distance,price_usd,regional,flight_path,city_pair,arrive_time,flight_legs,service_lvl,first_layover,second_layover,first_transfer_city,second_transfer_city
148,149,SM,CAI,2023-01-01 08:00:00,HRG,0 days 02:25:00,1,ATR,70,482,55,0,CAI -> SSH -> HRG,CAI_HRG,2023-01-01 10:25:00,"[149, 179]",2,0 days 00:25:00,0 days 00:00:00,SSH,
55,56,MS,CAI,2023-01-01 06:20:00,LXR,0 days 01:00:00,0,B738,162,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 07:20:00,[56],0,0 days 00:00:00,0 days 00:00:00,,
56,57,MS,CAI,2023-01-01 06:30:00,LXR,0 days 01:00:00,0,B738,162,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 07:30:00,[57],0,0 days 00:00:00,0 days 00:00:00,,
57,58,MS,CAI,2023-01-01 18:00:00,LXR,0 days 01:00:00,0,B738,162,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 19:00:00,[58],0,0 days 00:00:00,0 days 00:00:00,,
58,59,MS,CAI,2023-01-01 19:05:00,LXR,0 days 01:00:00,0,B738,162,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 20:05:00,[59],0,0 days 00:00:00,0 days 00:00:00,,
59,60,MS,CAI,2023-01-01 21:45:00,LXR,0 days 01:00:00,0,B738,162,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 22:45:00,[60],0,0 days 00:00:00,0 days 00:00:00,,
60,61,MS,CAI,2023-01-01 22:00:00,LXR,0 days 01:00:00,0,B738,162,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 23:00:00,[61],0,0 days 00:00:00,0 days 00:00:00,,
87,88,NE,CAI,2023-01-01 02:10:00,LXR,0 days 01:10:00,0,A320,150,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 03:20:00,[88],0,0 days 00:00:00,0 days 00:00:00,,
93,94,NP,CAI,2023-01-01 10:50:00,LXR,0 days 01:10:00,0,A320,150,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 12:00:00,[94],0,0 days 00:00:00,0 days 00:00:00,,
131,132,SM,CAI,2023-01-01 05:00:00,LXR,0 days 01:35:00,1,ATR,70,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 06:35:00,[132],0,0 days 00:00:00,0 days 00:00:00,,
132,133,SM,CAI,2023-01-01 05:20:00,LXR,0 days 01:35:00,1,ATR,70,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 06:55:00,[133],0,0 days 00:00:00,0 days 00:00:00,,
133,134,SM,CAI,2023-01-01 05:30:00,LXR,0 days 01:00:00,0,A320,150,507,55,0,CAI -> LXR,CAI_LXR,2023-01-01 06:30:00,[134],0,0 days 00:00:00,0 days 00:00:00,,
